['person', 693.0, 288.5, 33.0, 118.0, 500, 375, 3, 0]
['person', 712.5, 265.5, 27.0, 99.0, 500, 375, 3, 1]
['person', 661.5, 258.0, 39.0, 90.0, 500, 375, 3, 1]
['person', 497.5, 256.5, 47.0, 129.0, 500, 375, 3, 0]
['person', 446.0, 286.0, 49.0, 101.0, 500, 375, 3, 0]
['person', 465.0, 216.0, 24.0, 48.0, 500, 375, 3, 1]
['person', 41.0, 193.0, 40.0, 44.0, 500, 375, 3, 0]
['person', 39.0, 257.5, 63.0, 44.0, 500, 375, 3, 1]
['person', 222.5, 236.5, 10.0, 110.0, 500, 375, 3, 1]
['person', 368.0, 212.5, 13.0, 101.0, 500, 375, 3, 1]
